"Departement";"2013_C";"2013_D";"2013_E";"2013_F";"2013_G";"2013_H";"2013_I";"2013_J";"2013_K";"2013_L";"2013_M";"2013_N";"2013_P";"2013_Q";"2013_R";"2013_S";"2023_C";"2023_D";"2023_E";"2023_F";"2023_G";"2023_H";"2023_I";"2023_J";"2023_K";"2023_L";"2023_M";"2023_N";"2023_P";"2023_Q";"2023_R";"2023_S"
"40";"Haute-Loire";82;5;3;182;216;13;69;47;7;25;93;47;58;113;66;98;152;98;6;140;292;73;73;81;10;40;186;183;119;130;83;205
"41";"Haute-Marne";45;17;4;117;225;7;33;18;4;13;56;27;25;55;51;66;81;66;1;95;238;54;35;51;3;29;117;86;41;61;30;133
"42";"Haute-Saone";60;10;2;168;347;7;55;30;11;9;90;47;47;84;59;125;150;139;5;175;351;77;60;65;8;45;192;165;78;96;64;211
"43";"Haute-Savoie";270;14;5;673;909;57;200;202;33;110;669;442;538;579;337;493;377;128;12;689;1128;628;278;545;50;323;1547;1114;777;529;472;1231
"44";"Haute-Vienne";115;6;9;272;407;14;80;59;15;38;175;90;100;197;92;186;189;125;7;268;498;269;101;167;23;88;394;335;147;253;158;372
"45";"Hautes-Alpes";71;4;0;131;195;8;74;37;2;20;105;55;168;131;93;91;118;18;3;153;190;54;68;91;5;25;182;204;183;143;97;210
"46";"Hautes-Pyrenees";63;19;8;261;275;15;88;30;12;32;129;75;131;173;90;113;149;96;6;293;268;138;98;83;12;58;224;238;166;144;108;245
"47";"Hauts-de-Seine";316;3;13;710;1556;594;135;1122;148;178;2715;623;749;703;653;567;460;40;11;636;2178;3566;519;2637;173;506;6642;2102;1982;1166;1125;1756
"48";"Herault";341;28;23;1526;2138;78;450;429;51;146;1302;631;639;905;475;733;727;126;35;1706;2332;1556;477;1139;89;570;2619;1877;1042;1235;800;1859
"49";"Ille-et-Vilaine";275;51;12;471;1161;46;135;281;34;112;707;245;325;592;343;381;495;301;10;540;1374;649;194;829;89;283;1730;785;579;793;544;1083
"50";"Indre";48;2;8;122;216;8;48;20;11;25;70;56;35;66;61;88;91;111;4;99;294;79;57;54;14;39;151;195;71;85;68;152
"51";"Indre-et-Loire";167;10;6;410;837;24;125;125;30;70;415;138;217;321;150;253;288;176;8;401;884;499;138;359;47;165;896;602;377;397;306;612
"52";"Isere";427;41;32;1295;1579;92;263;356;50;134;1032;558;572;851;367;655;693;300;35;1296;2018;999;371;921;73;385;2009;1646;980;835;648;1447
"53";"Jura";93;14;4;185;404;16;62;46;9;22;108;64;61;129;72;129;172;117;8;211;410;43;81;79;24;61;217;182;118;120;106;251
"54";"La Reunion";227;70;7;507;1263;56;356;111;28;75;484;237;356;596;182;315;455;2;6;591;1608;659;493;477;51;194;1009;691;587;894;344;823
"55";"Landes";126;28;12;368;665;14;132;84;28;66;293;184;141;294;138;259;275;207;9;413;656;207;204;203;22;208;604;591;268;335;223;631
"56";"Loir-et-Cher";66;12;16;197;445;8;81;52;12;27;148;84;82;142;54;150;160;170;4;225;459;167;96;102;19;85;300;309;132;141;94;276
"57";"Loire";197;23;24;654;922;33;188;111;17;113;372;212;223;396;199;342;364;201;21;706;1339;511;160;341;34;194;960;724;386;531;303;732
"58";"Loire-Atlantique";349;30;34;820;1446;56;206;455;63;214;1186;346;498;823;509;523;641;424;29;821;1666;1130;255;1010;124;389;2488;1332;971;1022;785;1606
"59";"Loiret";164;7;15;420;1022;28;90;113;22;68;354;195;192;260;149;323;310;272;7;519;1128;570;122;363;32;180;866;666;343;332;257;594
"60";"Lot";70;8;3;182;239;9;90;32;9;28;91;68;47;84;60;93;126;85;3;130;209;45;93;52;8;48;184;212;76;81;83;202
"61";"Lot-et-Garonne";120;27;13;323;488;15;95;48;15;31;135;126;101;161;50;201;206;135;8;291;472;175;121;114;19;117;330;393;143;203;112;360
"62";"Lozere";26;4;0;44;68;5;32;9;0;6;37;11;15;36;27;24;67;22;1;54;59;13;32;26;1;16;58;73;30;45;42;68
"63";"Maine-et-Loire";194;31;21;426;966;26;125;129;47;85;448;179;225;404;193;288;341;292;14;433;1142;423;152;375;34;209;1001;611;350;469;326;725
"64";"Manche";99;13;6;194;518;17;123;70;11;32;189;92;86;182;118;189;234;159;6;191;531;134;118;119;14;84;357;295;159;216;169;366
"65";"Marne";117;14;9;387;699;29;74;106;26;95;303;146;118;253;119;272;254;164;19;385;850;699;107;357;34;219;751;513;258;340;191;501
"66";"Martinique";109;0;4;253;476;32;116;78;19;13;325;224;177;267;91;159;169;2;3;210;491;128;134;193;16;90;596;454;189;333;129;339
"67";"Mayenne";56;28;5;133;276;6;35;37;5;31;117;62;48;95;62;93;134;167;8;113;385;112;51;109;14;60;249;196;92;139;92;237
"68";"Mayotte";25;0;1;60;371;14;44;4;0;0;24;20;9;37;9;18;45;0;2;104;598;30;79;67;4;5;111;75;69;47;24;32
"69";"Meurthe-et-Moselle";129;18;33;520;897;13;109;161;30;35;408;178;168;333;140;292;369;225;26;521;995;515;129;376;45;169;887;641;351;506;236;712
"70";"Meuse";50;2;6;146;244;6;45;16;11;9;59;49;20;52;27;90;113;87;6;109;250;53;27;50;9;41;134;119;47;72;41;133
"71";"Morbihan";289;9;12;480;753;30;182;156;29;110;451;198;223;485;237;326;433;248;13;453;792;306;185;338;35;196;902;637;391;448;311;774
"72";"Moselle";189;24;48;814;1477;44;142;176;36;47;511;225;206;464;218;467;512;353;27;833;1611;679;162;447;50;267;1057;914;410;565;289;1018
"73";"Nievre";33;6;12;144;260;5;44;26;7;22;75;57;32;88;56;83;95;92;5;147;232;57;60;63;6;58;142;171;73;70;69;151
"74";"Nord";510;9;40;1282;2973;114;390;571;89;173;1579;499;616;1330;609;1044;1169;459;31;1379;3853;2554;393;1676;93;527;3767;1967;1197;2039;978;2380
"75";"Oise";175;4;23;574;996;85;107;132;31;64;436;243;223;252;209;349;359;242;22;535;1288;657;148;421;43;205;1051;725;359;338;282;742
"76";"Orne";64;5;12;183;330;4;56;43;6;30;98;54;56;77;68;115;116;126;4;168;351;84;55;91;11;44;223;199;76;110;93;184
"77";"Paris";725;2;3;827;2492;691;270;2455;214;250;8967;1152;1802;1770;2463;900;915;5;20;767;4793;6395;958;5342;288;571;17161;3476;3680;2467;3427;3022
"78";"Pas-de-Calais";282;7;33;834;1711;63;249;170;51;96;501;290;208;596;271;646;650;352;24;725;2069;972;234;457;43;332;1026;914;406;714;357;1165
"79";"Puy-de-Dome";196;6;11;554;663;34;139;134;25;44;412;179;203;349;179;299;312;239;13;453;805;429;162;353;30;169;814;552;390;447;275;593
"80";"Pyrenees-Atlantiques";204;27;13;585;719;37;152;179;31;121;622;237;301;581;281;399;354;211;12;628;967;415;197;406;48;335;1105;754;510;632;347;992
"81";"Pyrenees-Orientales";183;6;15;679;1037;31;224;126;26;64;319;227;190;352;215;347;348;152;8;632;984;347;208;246;32;253;683;633;348;375;234;630
"82";"Rhone";501;66;73;1403;2381;269;277;725;114;137;2247;955;859;1310;662;791;739;216;36;1469;3349;3411;554;2179;139;454;5597;2534;1833;1732;1202;2278
"83";"Saone-et-Loire";149;18;13;303;729;17;114;85;15;53;287;133;114;239;152;260;304;259;18;389;805;296;150;203;26;125;572;502;225;261;188;482
"84";"Sarthe";96;16;14;259;654;10;68;73;23;60;221;108;117;202;109;206;204;291;5;235;782;328;132;215;33;133;569;351;193;235;202;423
"85";"Savoie";156;8;10;466;546;42;148;102;17;83;363;227;432;339;179;252;243;91;11;475;574;319;202;255;22;139;654;653;500;325;273;590
"86";"Seine-et-Marne";277;7;18;933;1816;294;176;436;93;95;1066;511;494;570;406;700;585;438;25;1120;2340;2798;371;1587;89;507;3167;1766;982;827;612;1696
"87";"Seine-Maritime";224;7;17;576;1334;70;169;212;50;100;577;269;251;495;241;535;603;264;12;731;1720;899;237;591;112;300;1404;1034;487;773;465;1134
"88";"Seine-Saint-Denis";224;1;26;1100;2251;759;139;641;83;83;1286;592;447;426;550;453;465;143;33;2014;3265;7326;686;2310;106;311;5531;2832;1430;865;1109;1650
"89";"Somme";115;3;8;288;588;20;80;64;25;67;182;99;84;230;138;246;263;212;11;303;786;327;134;236;28;124;548;451;195;297;179;506
"90";"Tarn";126;57;5;323;557;13;96;61;22;23;181;120;140;243;119;233;265;176;11;350;595;193;102;197;32;139;484;478;232;271;182;480
